brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
STAT PROFILE,Prime ABG,42031,10385480420317,GS1,CHL,Prime Sensor Card ABG,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1,18655,00385480186551,GS1,JJY,"NOVA CONTROL 1,2 Na+,K+,Cl-,Ca++,TCO2,GLU,BUN,TCa,Mg++,Li+,pH",In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,28241,10385480282410,GS1,CGL,NOVA 16 CREATININE MEMBRANE KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,55263,10385480552636,GS1,GKF; JFP; CGZ; JJS; CEM; JGS; CHL; KHP; CGA; JIX,Prime Sensor Card CCS (High Volume),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34091,00385480340915,GS1,JJY,"Stat Profile pHOx Plus L Controls Auto-Cartridge, 330",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,Nova,3873,00385489038738,GS1,LXG,Sample Cups 25/Bag,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,38043,00385480380430,GS1,JIT; CIG; JJY,STAT PROFILE CRITICAL CARE XPRESS CO-OXIMETER S-LINE PROBE ASSEMBLY,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48598,00385480485982,GS1,CHL,Stat Profile Ultra/CCX PO2 Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4/12,14715,00385480147156,GS1,JFL,NOVA 4/12 TCO2 SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip StatSensor,North American,44267,00385480442671,GS1,CGA,"Cordset North American, Power Supply",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,61614,10385480616147,GS1,CHL,Stat Profile Prime Plus MicroSensor Card™ with COOX (High Volume),In Commercial Distribution,false,2018-12-21,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,48954,00385480489546,GS1,CGA; JIX; CHL; GJC; CGZ; JJB; NGD; GHS; BXX; CGL; JFP; GLY; JGS; CEM; CFA; GGZ; CDS; GKK,"TUBING ASSEMBLIES L1,L2,L3 STP PHOX ULTRA/CCX",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,1,18,00385480000185,GS1,JGS; CHL,Na/pH CONDITIONING SOLUTION,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSENSOR,1.0,43370,20385480433703,GS1,CGL,STAT SENSOR CREAT - Test Strips,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17289,00385480172899,GS1,JIX,"NOVA 16 Na+, Cl-, TCo2, Glu, CREAT, BUN,HCt",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34090,00385480340908,GS1,JJY,"Stat Profile pHOx Plus L Controls Auto-Cartridge, 75",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48591,00385480485913,GS1,JKS,Stat Profile pHOx Ultra/CCX SO2 Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,51994,10385480519943,GS1,KHP; CGA; CGL,Statsensor Statstrip Docking Station,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62341,10385480623411,GS1,CHL,Prime ES Plus W/ Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Co-ox,26865,00385480268653,GS1,GLY,STAT PROFILE pHOx CO-OXIMETER FLUSH FIXTURE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor,1.0,44052,10385480440520,GS1,CGL,StatSensor Creatinine Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,35942,10385480359426,GS1,CGZ; JPK; CGL; CHL; CDS; GKR; JGS; JFP; CGA; CFA; CEM; JKS; GHS; JIX; JJS; KHP; JPI,Stat Profile Critical Care Express Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,8,15265,10385480152652,GS1,CFA,NOVA 8 IONIZED MAGNESIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62342,10385480623428,GS1,CHL,Prime ES Plus W/ Tray,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
StatStrip,1.0,44993,10385480449936,GS1,CGA,StatStrip Glucose Meter With Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA MAX,Link,44585,10385480445853,GS1,CGA; NBW,Nova Max Link with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4/10/11/13,15742,10385480157428,GS1,NDW,NOVA 4/10/11/13 LITHIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,12,13192,00385480131926,GS1,CDS; CGA; JFL; CEM; JGS; CGZ,NOVA 12 TUBING HARNESS WITHOUT DILUTOR,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,36921,00385480369213,GS1,JIT; CIG; JJY,STAT PROFILE CRITICAL CARE XPRESS CO-OX FLUSH FIXTURE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,Statstrip/StatStrip Xpress,42173,00385480421737,GS1,JJX,StatStrip StatStrip Xpress GLU Linearity Level 1-5,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48596,00385480485968,GS1,CDS,Stat Profile pHOx Ultra/CCX BUN Membrane Kit,In Commercial Distribution,true,2017-04-21,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC/PLUS/L/C,22507,00385480225076,GS1,CGZ; JKS; JPK; KHP; JFP; CEM; GJS; JIX; CHL; GKR; JPI,STAT PROFILE pHOx/BASIC/PLUS/L/C SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/L/C,27811,00385480278119,GS1,CEM,STAT PROFILE pHOx PLUS/L/C POTASSIUM SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62226,00385480622264,GS1,CHL,Prime Calibrator Cartridge ES Plus 200 Sample,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME ABG,53104,00385480531047,GS1,JIX,Prime Calibrator Cartridge ABG 100 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,50427,00385480504270,GS1,JKS,Stat Profile pHOx Ultra/CCX SO2 Sensor Blank,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17093,00385480170932,GS1,CGZ; JJC; CGL; JIX; JPI; CDS; JFL; JPK; CEM; CGA,NOVA 16 TUBING HARNESS WITHOUT DILUTOR,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.0,47488,10385480474884,GS1,KHP,StatStrip LAC Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,37164,00385480371643,GS1,JIX,STAT PROFILE CCX CALIBRATOR CARTRIDGE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48904,00385480489041,GS1,JJY,Stat Profile pHOx Ultra/CCX Blood Gas Controls Auto-Cartridge 9/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,1.0,43773,10385480437735,GS1,JJX; CGA,StatStrip GLU Meter and Quick Reference Guide Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17360,00385480173605,GS1,CGL,NOVA 16 CREATININE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48557,10385480485576,GS1,CGZ,Stat Profile pHOx Ultra/CCX Chloride Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime/pHOx Ultra/CCX,48587,00385480485876,GS1,JJB; GLY; CDS; CGL; JFP; GHS; CHL; GKK; CGA; CFA; NGD; CGZ; JGS; BXX; GGZ; GJC; JIX; CEM,Prime/StatProfile pHOx Ultra/CCX Magnets for Capillary Tubes 10 per vial,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/PLUS/L/C,24327,00385480243278,GS1,CGA; JPK; JPI; GJS; CGZ; JFP; JGS; CHL; KHP; GKR; JKS; JIX,STAT PROFILE pHOx/BASIC/PLUS/L/C FLUSH FIXTURE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox basic,23937,00385480239370,GS1,JIX,STAT PROFILE pHOx BASIC CALIBRATOR Cartridge B,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,48589,00385480485890,GS1,CGA; CGZ; NGD; CGL; CFA; JFP; GHS; GLY; BXX; JJB; CHL; JIX; JGS; CEM; CDS; GKK; GJC; GGZ,Stat Profile pHOx Ultra/CCX Capillary Tube 115 uL with Na Heparin 250 per Vial,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,Prime CCS Comp,42033,10385480420331,GS1,JFP; KHP; JIX; GKF; CGZ; CGA; CHL; JGS; JJS; CEM,Prime Sensor Card CCS Comp,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17457,00385480174572,GS1,JJY,NOVA PERFORMANCE CHECK SOLN GLU/BUN/CREAT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS/C,30646,00385480306461,GS1,JJY,"STAT PROFILE PHOX PLUS/C CONTROLS AUTO-CARTRIDGE, 330",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,43806,10385480438060,GS1,CGL; CGA; KHP,StatSensor Stat Strip Docking Station Non Network Capable,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4,14082,00385480140829,GS1,NDW; CEM; CGZ; JGS; JFL,NOVA 4 MICROSAMPLE STANDARD,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.0,47143,10385480471432,GS1,CGA; JJX,StatStrip Glu Meter and Quick Reference Guide Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,4,13683,00385480136839,GS1,JFL; CEM; JGS; CGZ; NDW,NOVA 4 TUBING HARNESS WITH DILUTOR,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,14608,00385480146081,GS1,JIX,"NOVA 10 Na+, K+, Cl-, TCa",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX,48600,00385480486002,GS1,CHL,Stat Profile pHOx Ultra/CCX PCO2 Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX/PHOX/BASIC/PLUS/L/C,24819,00385480248198,GS1,CGA; JIX; CGZ; CDS; GHS; CGL; JGS; CHL; JPI; GKR; JFP; KHP; JPK; GJS; CFA; CEM; JKS; JJS,Stat Profile CCX Stat Profile pHOx/Basic/Plus/L/C/M Control Flush Fixture,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53364,00385480533645,GS1,JIX,Prime Calibrator Cartridge CCS 200 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34087,00385480340878,GS1,JIX,STAT PROFILE pHOx PLUS L CALIBRATOR CARTRIDGE L,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,38297,00385480382977,GS1,JJY; CIG; JIT,STAT PROFILE CRITICAL CARE XPRESS ROTARY VALVE LUBRICATION KIT,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,CCX,40729,00385480407298,GS1,JPK; KHP; GKR; CGA; JJS; JPI; CDS; CEM; JKS; CGZ; CGL; CFA; JFP; GHS; JGS; JIX; CHL,STAT PROFILE CRITICAL CARE EXPRESS CAPILLARY TUBE 115 uL WITH Na HEPARIN,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS/C,30645,00385480306454,GS1,JJY,"STAT PROFILE PHOX PLUS/C CONTROLS AUTO-CARTRIDGE, 220",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,3,18654,00385480186544,GS1,JJY,"NOVA CONTROL 3 Na+,K+,Cl-,Ca++,GLU,BUN, TCa,Mg++,Li+,pH",In Commercial Distribution,true,2016-09-19,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,52861,00385480528610,GS1,JIX,Prime Calibrator Cartridge CCS Comp 100 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Lactate Plus,Lactate Plus,40813,20385480408138,GS1,KHP,Lactate Plus Lactate Test Strips,In Commercial Distribution,true,2022-12-08,NOVA BIOMEDICAL CORPORATION
NOVA,14,14830,00385480148306,GS1,CDS; JGS; CEM; CGA; JPI; CGZ,NOVA 14 W/R PUMP TUBE,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.75,56037,10385480560372,GS1,CGA; CGL; KHP,StatStrip Docking Station Remanufactured  4 position 1.75,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,15211,10385480152119,GS1,JFP; JGS; CGZ; NDW; CEM,NOVA 10/10+ Analyzer (non dilutor) (no Acc Pack),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57841,00385480578417,GS1,CHL,Stat Profile Prime Plus Auto QC Cartridge 105 Sample with Creat / BUN,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,1,13409,00385480134095,GS1,CGA; KHP,NOVA GLU/LAC SENSOR SOAKING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,16,17359,00385480173599,GS1,CGA,NOVA 16 GLUCOSE SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC/PLUS/L/C,21512,00385480215121,GS1,JKS,"STAT PROFILE pHOx/BASIC/PLUS/L/C, CCX SO2 SENSOR",In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,58643,10385480586433,GS1,CHL,Stat Profile Prime Plus MicroSensor Card™ (High Volume),In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/11/13,13195,00385480131957,GS1,JFP; CGZ; CHL; CFA; JPI; NDW; JGS; CEM,NOVA 1/5/11/13 WITH DILUTOR/ NOVA 8 WITH OUT DILUTOR: W/R PUMP TUBING,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,32204,10385480322048,GS1,JFP; JIX; CGA; CHL; GKR; CEM; CGZ; JPI; GJS,Remanufactured Stat Profile pHOx Plus Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/PLUS/L/C,21795,10385480217955,GS1,CHL,STAT PROFILE pHOx /BASIC/PLUS/L/C PO2 MEMBRANE CAP KIT,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23931,00385480239318,GS1,JJY,"STAT PROFILE PHOX/BASIC CONTROLS AUTO-CARTRIDGE,110",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PLUS/PLUS C,28969,00385480289696,GS1,CGA,STAT PROFILE pHOx PLUS/PLUS C GLUCOSE MEMBRANE,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
StatSensor/StatStrip,1.0,54422,10385480544228,GS1,KHP; CGL; CGA,StatStrip StatSensor Remanufactured Wireless Carrying Case for Meter and Supplies v1.0,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,8,15263,00385480152631,GS1,CHL,NOVA 8 pH SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1-16,13986,00385480139861,GS1,JJY,NOVA MICROSAMPLE DILUENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,15212,10385480152126,GS1,NDW; JGS; JFP; CGZ; CEM,NOVA 10/10+ Analyzer w Printer  (w Acc Pack),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Comp Plus,62352,10385480623527,GS1,CHL,Prime ES Comp Plus W/ Tray,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
NOVA,4,15647,00385480156479,GS1,JIX,"NOVA 4 Na+, K+, Cl-, TCo2, KL+ CALIBRATORS",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx,23397,00385480233972,GS1,JGS,STAT PROFILE pHOx CONDITIONING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27611,00385480276115,GS1,JIX,STAT PROFILE pHOx PLUS CALIBRATOR CARTRIDGE B,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57827,00385480578271,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 300 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,49670,00385480496704,GS1,CFA,Stat Profile pHOx Ultra/CCX Mg++ Sensor blank,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSENSOR,1.0,43923,00385480439237,GS1,JJX,StatSensor Creat Control Level 3,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSENSOR,1.0,43921,00385480439213,GS1,JJX,StatSensor Creat Control Level 1,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,10,53964,10385480539644,GS1,CEM; NDW; JGS; CGZ; JFP,Nova 10/10+ Analyzer w/ Printer /Dilutor,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62634,10385480626344,GS1,CHL,Remanufactured Prime ES Plus w/ Scanner,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53455,00385480534550,GS1,JJY,Prime Auto QC Cartridge CCS 100 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC/PLUS/L/C,21926,00385480219266,GS1,JJY,"STAT PROFILE pHOx BASIC/PLUS/L/C WASTE LINE ASSEMBLY, EXTERNAL",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,PRIME,56726,00385480567268,GS1,KHP; JIX; GKF; CEM; JJS; CGZ; CHL; JGS; JFP; CGA,Prime Capillary Tube 150 uL with Balanced Heparin 250 per vial,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57458,00385480574587,GS1,JGS; CGA; CHL; GGZ,Calibrator Flush Fixture,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62632,10385480626320,GS1,CHL,Remanufactured Prime ES Plus,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,48588,00385480485883,GS1,GGZ; CGA; JIX; GJC; CFA; CHL; CDS; JGS; JFP; CGZ; GLY; GHS; CGL; GKK; CEM; BXX; JJB; NGD,Stat Profile pHOx Ultra/CCX Capillary Tube 150 uL with Na Heparin 250 per vial,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ES Plus,62636,10385480626368,GS1,CHL,Remanufactured Prime ES Plus w/ Tray,In Commercial Distribution,false,2020-02-03,NOVA BIOMEDICAL CORPORATION
Lactate Plus,Lactate Plus,40815,00385480408158,GS1,KHP,Lactate Plus LAC Control 1,In Commercial Distribution,false,2022-12-08,NOVA BIOMEDICAL CORPORATION
STATSTRIP,Ejector,46799,10385480467992,GS1,JJX; CGA,StatStrip Xpress GLU Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,11,15649,00385480156493,GS1,JIX,"NOVA 11 Na+, K+, Li+, Hct",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova Primary,Nova Primary Calibrator Cartridge 450 Sample,63162,00385480631624,GS1,CGA,Nova Primary Calibrator Cartridge 450 Sample,In Commercial Distribution,false,2023-02-08,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,pHOx/BASIC/PLUS/L/C,21497,00385480214971,GS1,CHL; CEM; JKS; JPK; JIX; JPI; KHP; GKR; GJS; JFP; CGZ,STAT PROFILE pHOx/BASIC/PLUS/L/C REFERENCE LINE ASSEMBLY,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,MAX,43523,20385480435233,GS1,NBW,NOVA MAX DME  GLUCOSE TEST STRIPS,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC,23935,00385480239356,GS1,JIX,STAT PROFILE pHOx/BASIC CALIBRATOR CARTRIDGE A,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA,9798,00385480097987,GS1,CHL; JKS,"STAT PROFILE PO2, SO2 SEALING WASHERS",In Commercial Distribution,false,2017-12-19,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime ABG/CCS,52714,00385480527149,GS1,JJY,Stat Profile Prime Ampuled Control ABG/CCS,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
StatStrip,1.0,42224,10385480422243,GS1,CGA,StatStrip Glucose Meter With Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,52862,00385480528627,GS1,JIX,Prime Calibrator Cartridge CCS 100 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/4/5/8/10/11/13,12882,00385480128827,GS1,CFA; NDW; JGS; CHL; JFP; JPI; JFL; CGZ; CEM,Nova 1/4/5/8/10/11/13 Dilutor Pack,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,21490,10385480214909,GS1,JIX; JKS; JPI; GKR; CHL; JPK,Stat Profile pHOx Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,53963,10385480539637,GS1,JFP; CGZ; JGS; CEM; NDW,Nova 10/10+ Analyzer w/ Printer / Primary Tube Auto Sampler,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,pHOx Ultra/CCX,49205,00385480492058,GS1,JGS; JJB; GGZ; CGZ; CHL; GLY; JFP; NGD; GKK; CFA; CEM; GJC; CDS; JIX; BXX; CGA; GHS; CGL,Stat Profile pHOx Ultra/CCX Sensor Multi blank,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Nova,14,14575,00385480145756,GS1,CGA; CDS; CGZ; JGS; CEM; JPI,NOVA 14 TUBING HARNESS WITH DILUTOR,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS L,34088,00385480340885,GS1,JIX,STAT PROFILE PHOX PLUS L CALIBRATOR CARTRIDGE D,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,PRIME,56725,00385480567251,GS1,JJS; CEM; KHP; JFP; JIX; GKF; CGZ; JGS; CHL; CGA,Prime Capillary Tube 230 uL with Balanced Heparin 250 per vial,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48583,00385480485838,GS1,JIX; GHS; GKK; GLY; JFP; CHL; NGD; CEM; CGL; GJC; GGZ; JJB; BXX; CFA; JGS; CDS; CGA; CGZ,SENSOR REF PHOX ULTRA/CCX REFERENCE Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,55264,10385480552643,GS1,CGZ; CGA; JFP; CHL; KHP; JGS; GKF; JJS; CEM; JIX,Prime Sensor Card CCS Comp (High Volume),In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,16,17515,00385480175159,GS1,JPI,NOVA 16 HEMATOCRIT SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,23962,10385480239629,GS1,JIX; GKR; JKS; JPK; CHL; JPI,Remanufactured Stat Profile pHOx Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
