brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
STAT PROFILE,PHOX PLUS/C,30644,00385480306447,GS1,JJY,"STAT PROFILE PHOX PLUS/C CONTROLS AUTO-CARTRIDGE, 110",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Nova,Nova,40089,00385489400894,GS1,LXG,Syringe Clot Catcher,In Commercial Distribution,true,2022-12-07,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX,27949,00385480279499,GS1,GLY,STAT PROFILE pHOx CO-OXIMETER TUBING ASSEMBLY PUMP HARNESS,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57829,00385480578295,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 500 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS C,41888,00385480418881,GS1,JIX,STAT PROFILE pHOx PLUS C CALIBRATOR CARTRIDGE C,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1-16,13523,00385480135238,GS1,JJY,LINEARITY STANDARD SET D,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX CO-OX,38732,00385480387323,GS1,JIT; CIG; JJY,STAT PROFILE CRITICAL CARE XPRESS CO-OXIMETER PUMP TUBE REPLACEMENT,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53466,00385480534666,GS1,JIX,Prime Calibrator Cartridge CCS 400 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/4/5/8/10/11/12/13/14,14713,00385480147132,GS1,CEM,NOVA 1/4/5/8/10/11/12/13/14 POTASSIUM SENSOR,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP LAC,47553,00385480475532,GS1,JJX,"Nova StatStrip LAC Control, Level 1",In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,37562,10385480375624,GS1,JPI; CHL; CGA; CDS; JIX; JGS; JKS; CGL; JPK; JJS; JFP; KHP; CFA; CGZ; CEM; GHS; GKR,Remanufactured Stat Profile Critical Care Xpress Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,ULTRA/CCX,48553,00385480485531,GS1,KHP,Stat Profile pHOx Ultra/CCX Lactate Sensor,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,CCX,36457,00385480364577,GS1,JPK; JJS; CEM; CGL; JIX; CHL; JGS; CFA; GHS; JKS; GKR; JPI; JFP; CGA; KHP; CGZ; CDS,STAT PROFILE CCX W/R TUBING HARNESS,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME,52669,00385480526692,GS1,JJS; CGA; JIX; CEM; JGS; KHP; CGZ; CHL; JFP; GKF,Prime Safety Sample Port 5 Pk,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,STATSTRIP XPRESS GLU,41742,00385480417426,GS1,JJX,StatStrip StatStrip Xpress GLU Control Level 2,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.86,54790,00385480547901,GS1,PZI,Statstrip Glucose Meter with Battery and Quick Reference Guide,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
Nova Max,Plus,43435,10385480434352,GS1,JIN; JJX; CGA; NBW,Nova Max Plus Plus Blood Glucose Monitoring System,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/PLUS/L/C,21521,00385480215213,GS1,CHL,STAT PROFILE pHOx/BASIC/PLUS/L/C PO2 SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/PLUS/L/C,25048,00385480250481,GS1,CHL,STAT PROFILE pHOx/BASIC/PLUS/L/C PCO2 MEMBRANE CAP KIT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/11/13,13196,00385480131964,GS1,CEM; CGZ; NDW; JPI; JGS,NOVA 1/5/11/13 W/R PUMP TUBE WITHOUT DILUTOR,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
NOVA,CRT,14712,00385480147125,GS1,JFP,NOVA TCa MIXER,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA,48563,00385480485630,GS1,CEM; GGZ; GHS; BXX; GKK; GLY; CGZ; CGA; CHL; GJC; JIX; JJB; CDS; NGD; JGS; CFA; JFP; CGL,STAT PROFILE pHOx ULTRA CO-OXIMETER PUMP TUBE REPLACEMENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1/5/8/10/11/13/14,13203,00385480132039,GS1,NDW; CDS; JGS; CGZ; JFP; CHL; CFA; CGA; JPI; CEM,NOVA 1/5/8/10/11/13/14 SENSOR SPACER,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,10,16138,00385480161381,GS1,JIX,NOVA 10 URINE DILUENT,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
